miRNA,Tau_TCGA,TCGA_tissues,Tau_GTEx,GTEx_tissues,Delta_Tau,DE_n_projects_up,DE_n_projects_down,DE_median_log2fc,DE_median_padj,binom_p_up,binom_p_down,Binomial_result,CPM_GTEx_mean,CPM_GTEx_max,CPM_TCGA_mean,CPM_TCGA_max,TCGA_GTEx_log2FC,MW_statistic_TCGA_GTEx,TCGA_GTEx_p_value,TCGA_GTEx_padj,TCGA_GTEx_Direction,Specificity_class,Dysregulated_class
hsa-mir-410-3p,0.437,"Adrenal Gland [0.07], Testis [0.07], Peritoneum [0.06]",0.612,"Brain [0.09], Adrenal Gland [0.08], Spleen [0.06]",-0.175,2,2,-0.813,8.95e-08,6.88e-01,6.88e-01,NS,38.023,492.347,140.086,987.799,2.129,95.0,1.53e-05,4.05e-05,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-487b-3p,0.436,"Adrenal Gland [0.07], Pancreas [0.07], Peritoneum [0.06]",0.392,"Brain [0.06], Adrenal Gland [0.06], Spleen [0.05]",0.044,2,5,-0.808,2.65e-05,9.38e-01,2.27e-01,NS,386.64,3362.277,103.233,656.643,-1.917,488.0,2.20e-03,3.66e-03,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-503-5p,0.436,"Adrenal Gland [0.07], Kidney [0.06], Soft Tissues [0.05]",0.432,"Testis [0.07], Spleen [0.06], Kidney [0.05]",0.004,10,1,1.418,2.93e-09,5.86e-03,1.00e+00,UP,76.14,558.973,50.735,363.005,-0.361,370.0,4.02e-01,4.55e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-653-5p,0.435,"Kidney [0.07], Thymus [0.06], Thorax [0.06]",0.716,"Kidney [0.12], Brain [0.08], Lung [0.07]",-0.281,6,1,1.335,6.81e-08,6.25e-02,9.92e-01,NS,4.108,41.365,31.889,166.129,2.567,69.0,1.48e-06,5.11e-06,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-766-3p,0.435,"Bone Marrow [0.07], Lymph nodes [0.06], Thymus [0.06]",0.561,"Whole Blood [0.08], Testis [0.07], Adrenal Gland [0.06]",-0.126,2,1,0.793,1.22e-11,5.00e-01,8.75e-01,NS,14.166,106.493,44.15,290.456,1.659,120.0,1.17e-04,2.48e-04,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-136-5p,0.433,"Adrenal Gland [0.07], Testis [0.06], Peritoneum [0.06]",0.536,"Adrenal Gland [0.08], Brain [0.06], Spleen [0.05]",-0.103,3,5,-1.016,2.81e-13,8.55e-01,3.63e-01,NS,15.851,127.697,167.758,1204.682,2.622,69.0,1.48e-06,5.11e-06,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-190a-5p,0.433,"Kidney [0.07], Fallopian tube [0.05], Thymus [0.05]",0.402,"Kidney [0.06], Omentum [0.05], Heart [0.05]",0.031,1,4,-0.667,2.85e-09,9.69e-01,1.88e-01,NS,40.533,245.936,14.344,59.65,-1.201,525.0,1.71e-04,3.50e-04,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-495-3p,0.432,"Testis [0.07], Adrenal Gland [0.07], Peritoneum [0.06]",0.374,"Brain [0.06], Adrenal Gland [0.06], Spleen [0.05]",0.058,1,6,-1.184,4.12e-07,9.92e-01,6.25e-02,NS,346.813,2814.457,63.849,367.111,-2.379,560.0,9.94e-06,2.70e-05,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-132-5p,0.432,"Pancreas [0.07], Brain [0.06], Fallopian tube [0.06]",0.303,"Brain [0.05], Testis [0.05], Adrenal Gland [0.04]",0.128,1,2,-0.402,5.57e-05,8.75e-01,5.00e-01,NS,630.116,5154.095,12.194,45.162,-5.358,650.0,9.70e-10,2.84e-08,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-30d-3p,0.431,"Fallopian tube [0.07], Lymph nodes [0.06], Skin [0.05]",0.297,"Lung [0.05], Kidney [0.05], Heart [0.05]",0.134,1,1,-0.347,7.42e-05,7.50e-01,7.50e-01,NS,27.38,88.034,17.284,92.525,-0.77,510.0,5.08e-04,9.67e-04,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-34c-5p,0.429,"Lung [0.07], Uterus [0.06], Fallopian tube [0.06]",0.591,"Fallopian Tube [0.09], Testis [0.09], Lung [0.08]",-0.161,6,3,1.296,8.79e-06,2.54e-01,9.10e-01,NS,526.979,5444.108,59.636,246.228,-0.401,324.0,9.92e-01,9.92e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-136-3p,0.429,"Adrenal Gland [0.07], Testis [0.06], Peritoneum [0.06]",0.439,"Adrenal Gland [0.07], Brain [0.06], Spleen [0.05]",-0.01,1,6,-1.339,2.87e-12,9.92e-01,6.25e-02,NS,41.208,273.552,77.502,485.409,0.546,286.0,4.68e-01,5.17e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-1269a,0.425,"Ovary [0.07], Thorax [0.06], Thymus [0.06]",0.847,"Kidney [0.21], Bladder [0.14], Testis [0.12]",-0.421,12,1,4.289,4.67e-19,1.71e-03,1.00e+00,UP,3.311,45.041,579.391,4933.87,6.313,25.0,1.67e-08,1.34e-07,TCGA_UP,Normal-tissue-specific miR,UPREGULATED
hsa-mir-671-5p,0.425,"Lymph nodes [0.07], Bone Marrow [0.05], Skin [0.05]",0.284,"Adrenal Gland [0.05], Spleen [0.05], Thyroid [0.04]",0.141,11,0,1.157,4.35e-14,4.88e-04,1.00e+00,UP,41.646,146.967,17.475,98.516,-1.364,596.0,3.45e-07,1.48e-06,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-887-3p,0.417,"Fallopian tube [0.07], Skin [0.06], Adrenal Gland [0.05]",0.381,"Adrenal Gland [0.06], Heart [0.05], Brain [0.05]",0.036,0,3,-0.629,2.55e-05,1.00e+00,1.25e-01,NS,15.997,61.413,18.981,89.954,0.142,318.0,9.03e-01,9.12e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-584-5p,0.417,"Skin [0.07], Bone Marrow [0.06], Bladder [0.05]",0.632,"Whole Blood [0.10], Brain [0.09], Heart [0.08]",-0.215,7,2,1.132,7.41e-10,8.98e-02,9.80e-01,NS,15.065,112.197,342.36,3454.497,4.41,32.0,3.56e-08,2.16e-07,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-651-5p,0.414,"Testis [0.07], Lymph nodes [0.06], Bone Marrow [0.06]",0.421,"Heart [0.06], Testis [0.06], Spleen [0.06]",-0.007,6,0,1.017,4.26e-09,1.56e-02,1.00e+00,UP,7.72,25.346,10.186,36.191,0.35,260.0,2.24e-01,2.66e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-3065-5p,0.414,"Lung [0.07], Brain [0.06], Thymus [0.05]",0.514,"Lung [0.08], Brain [0.07], Mucosa [0.07]",-0.1,4,3,0.695,6.00e-10,5.00e-01,7.73e-01,NS,16.764,94.141,11.229,35.374,-0.045,306.0,7.27e-01,7.58e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-497-5p,0.411,"Fallopian tube [0.07], Breast [0.05], Pancreas [0.05]",0.206,"Adrenal Gland [0.05], Spleen [0.05], Testis [0.05]",0.205,1,8,-1.012,5.10e-11,9.98e-01,1.95e-02,DOWN,130.391,336.511,82.33,729.587,-1.02,532.0,9.99e-05,2.14e-04,GTEx_UP,Non-specific miR,DOWNREGULATED
hsa-mir-411-5p,0.41,"Fallopian tube [0.07], Testis [0.06], Peritoneum [0.06]",0.338,"Adrenal Gland [0.06], Brain [0.05], Testis [0.05]",0.073,1,6,-1.1,3.16e-10,9.92e-01,6.25e-02,NS,328.252,2263.414,52.258,296.341,-2.598,579.0,1.78e-06,5.86e-06,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-223-3p,0.41,"Bone Marrow [0.07], Lung [0.05], Pancreas [0.05]",0.5,"Whole Blood [0.07], Spleen [0.07], Lung [0.06]",-0.09,4,3,-0.621,1.64e-09,5.00e-01,7.73e-01,NS,247.322,3087.948,2427.27,42081.134,3.327,63.0,8.34e-07,3.16e-06,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-195-3p,0.408,"Fallopian tube [0.07], Pancreas [0.05], Thymus [0.05]",0.18,"Omentum [0.05], Adrenal Gland [0.05], Ovary [0.05]",0.229,1,8,-1.115,3.80e-10,9.98e-01,1.95e-02,DOWN,87.253,178.322,13.068,54.98,-2.725,622.0,2.31e-08,1.63e-07,GTEx_UP,Non-specific miR,DOWNREGULATED
hsa-mir-1296-5p,0.408,"Fallopian tube [0.07], Ovary [0.06], Brain [0.05]",0.398,"Brain [0.06], Testis [0.05], Kidney [0.04]",0.01,0,1,-0.598,4.98e-09,1.00e+00,5.00e-01,NS,24.003,130.157,28.646,155.615,0.084,332.0,9.03e-01,9.12e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-200b-5p,0.407,"Uterus [0.07], Pancreas [0.06], Ovary [0.06]",0.47,"Salivary Gland [0.07], Stomach [0.07], Mucosa [0.06]",-0.063,4,1,1.025,3.98e-26,1.88e-01,9.69e-01,NS,56.499,248.986,70.319,264.921,0.464,287.0,4.80e-01,5.27e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-381-3p,0.404,"Testis [0.07], Adrenal Gland [0.05], Peritoneum [0.05]",0.265,"Adrenal Gland [0.05], Brain [0.05], Ovary [0.05]",0.139,2,7,-1.111,2.67e-12,9.80e-01,8.98e-02,NS,1419.611,8641.702,290.293,2902.695,-2.694,583.0,1.22e-06,4.38e-06,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-369-3p,0.403,"Adrenal Gland [0.07], Testis [0.06], Pancreas [0.06]",0.399,"Adrenal Gland [0.06], Brain [0.06], Spleen [0.05]",0.004,3,4,-0.297,7.23e-07,7.73e-01,5.00e-01,NS,256.951,2263.215,78.642,352.394,-1.709,467.0,7.67e-03,1.16e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-146b-3p,0.403,"Thyroid [0.07], Ovary [0.05], Fallopian tube [0.05]",0.365,"Lung [0.06], Omentum [0.05], Spleen [0.05]",0.038,6,2,0.783,4.86e-09,1.45e-01,9.65e-01,NS,60.04,325.652,651.451,8910.271,2.568,53.0,3.13e-07,1.35e-06,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-92b-3p,0.401,"Fallopian tube [0.06], Ovary [0.06], Brain [0.05]",0.236,"Brain [0.05], Whole Blood [0.05], Fallopian Tube [0.04]",0.164,6,1,0.859,3.96e-09,6.25e-02,9.92e-01,NS,495.922,2095.34,1376.42,16301.115,0.117,356.0,5.66e-01,6.05e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-139-3p,0.398,"Adrenal Gland [0.06], Lymph nodes [0.06], Brain [0.06]",0.45,"Spleen [0.07], Brain [0.06], Omentum [0.06]",-0.052,1,11,-2.101,3.18e-25,1.00e+00,3.17e-03,DOWN,45.714,336.63,43.413,243.046,0.016,312.0,8.14e-01,8.39e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-326,0.398,"Ovary [0.06], Skin [0.06], Lung [0.06]",0.354,"Whole Blood [0.06], Lung [0.06], Spleen [0.05]",0.044,2,6,-0.997,1.84e-08,9.65e-01,1.45e-01,NS,55.287,240.915,10.487,35.279,-2.023,587.0,8.34e-07,3.16e-06,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-9-5p,0.396,"Brain [0.06], Uterus [0.05], Skin [0.05]",0.457,"Brain [0.07], Adrenal Gland [0.05], Kidney [0.04]",-0.061,10,1,3.213,1.86e-20,5.86e-03,1.00e+00,UP,5615.344,128658.731,33884.373,675994.421,2.528,116.0,8.54e-05,1.85e-04,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-135b-5p,0.395,"Pancreas [0.06], Uterus [0.06], Lung [0.06]",0.386,"Thyroid [0.06], Testis [0.06], Salivary Gland [0.05]",0.01,11,3,1.681,6.74e-15,2.87e-02,9.94e-01,UP,954.018,7459.576,164.793,767.732,-2.179,470.0,6.48e-03,9.81e-03,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-337-3p,0.394,"Testis [0.06], Peritoneum [0.06], Adrenal Gland [0.06]",0.463,"Adrenal Gland [0.07], Testis [0.05], Vagina [0.05]",-0.069,1,6,-0.903,1.90e-08,9.92e-01,6.25e-02,NS,16.554,101.191,119.472,713.469,2.195,78.0,3.41e-06,1.01e-05,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-10b-3p,0.393,"Kidney [0.06], Adrenal Gland [0.05], Uterus [0.05]",0.459,"Kidney [0.07], Adrenal Gland [0.06], Uterus–Cervix [0.06]",-0.066,2,4,-0.918,2.63e-13,8.91e-01,3.44e-01,NS,35.591,182.714,33.044,148.827,0.44,296.0,5.91e-01,6.30e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-181c-5p,0.392,"Fallopian tube [0.06], Ovary [0.05], Bone Marrow [0.05]",0.439,"Brain [0.07], Thyroid [0.06], Lung [0.05]",-0.047,3,2,0.59,9.53e-10,5.00e-01,8.12e-01,NS,15.451,83.121,310.141,3408.708,3.658,7.0,2.20e-09,3.33e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-1247-5p,0.392,"Colon [0.06], Pancreas [0.06], Testis [0.06]",0.307,"Vagina [0.05], Uterus–Cervix [0.05], Ovary [0.05]",0.085,1,6,-1.328,3.01e-07,9.92e-01,6.25e-02,NS,146.137,710.554,28.607,117.58,-2.408,589.0,6.87e-07,2.71e-06,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-493-5p,0.386,"Pancreas [0.06], Testis [0.06], Fallopian tube [0.05]",0.449,"Adrenal Gland [0.07], Testis [0.05], Spleen [0.05]",-0.063,4,4,0.547,1.19e-07,6.37e-01,6.37e-01,NS,149.76,1731.906,82.139,380.91,-0.614,394.0,1.97e-01,2.36e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-181d-5p,0.385,"Fallopian tube [0.06], Bone Marrow [0.05], Ovary [0.05]",0.325,"Brain [0.06], Thyroid [0.05], Heart [0.05]",0.06,4,1,0.998,2.09e-12,1.88e-01,9.69e-01,NS,80.767,408.761,104.504,815.72,0.17,303.0,6.85e-01,7.16e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-425-3p,0.385,"Bone Marrow [0.06], Fallopian tube [0.06], Uterus [0.05]",0.457,"Whole Blood [0.07], Brain [0.06], Spleen [0.05]",-0.072,2,0,0.488,1.81e-08,2.50e-01,1.00e+00,NS,6.072,23.903,41.488,209.035,2.246,30.0,2.87e-08,1.83e-07,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-363-3p,0.384,"Fallopian tube [0.06], Thymus [0.05], Thorax [0.05]",0.283,"Whole Blood [0.05], Prostate [0.05], Kidney [0.05]",0.101,1,2,-0.573,9.10e-08,8.75e-01,5.00e-01,NS,1575.001,9482.754,141.284,1030.31,-3.395,612.0,6.73e-08,3.68e-07,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-29b-1-5p,0.382,"Lymph nodes [0.06], Skin [0.05], Lung [0.05]",0.287,"Soft Tissues [0.05], Omentum [0.05], Lung [0.05]",0.096,3,2,0.577,1.12e-05,5.00e-01,8.12e-01,NS,10.981,24.463,16.9,70.0,0.515,211.0,3.25e-02,4.47e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-let-7e-3p,0.38,"Ovary [0.06], Thyroid [0.05], Fallopian tube [0.05]",0.235,"Adrenal Gland [0.05], Kidney [0.05], Brain [0.05]",0.146,1,4,-0.548,1.42e-08,9.69e-01,1.88e-01,NS,21.357,46.099,30.842,157.521,0.341,273.0,3.32e-01,3.85e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-193b-5p,0.379,"Lymph nodes [0.06], Ovary [0.06], Thorax [0.05]",0.421,"Adrenal Gland [0.06], Omentum [0.06], Skin [0.06]",-0.041,3,1,0.475,3.50e-06,3.12e-01,9.38e-01,NS,8.924,29.929,18.051,68.534,0.901,172.0,4.06e-03,6.45e-03,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-19a-3p,0.379,"Lymph nodes [0.06], Bone Marrow [0.06], Thymus [0.05]",0.185,"Testis [0.05], Spleen [0.05], Liver [0.05]",0.194,10,0,1.121,6.46e-15,9.77e-04,1.00e+00,UP,73.48,157.187,149.709,925.134,0.274,281.0,4.12e-01,4.63e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-20b-5p,0.378,"Thymus [0.06], Thorax [0.06], Bone Marrow [0.06]",0.465,"Prostate [0.07], Kidney [0.06], Spleen [0.06]",-0.087,6,3,1.05,1.59e-05,2.54e-01,9.10e-01,NS,26.611,158.293,250.927,1390.256,2.544,92.0,1.18e-05,3.15e-05,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-27a-5p,0.378,"Bone Marrow [0.06], Mucosa [0.06], Lung [0.05]",0.362,"Skin [0.06], Lung [0.06], Omentum [0.06]",0.016,0,6,-1.188,6.48e-09,1.00e+00,1.56e-02,DOWN,85.407,414.649,46.221,239.457,-0.673,410.0,1.11e-01,1.41e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-769-5p,0.375,"Fallopian tube [0.06], Lymph nodes [0.05], Ovary [0.05]",0.363,"Brain [0.06], Testis [0.05], Spleen [0.04]",0.012,0,0,0.614,5.43e-05,–,–,NS,156.009,1311.806,108.76,816.229,-0.552,426.0,5.83e-02,7.73e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-130a-3p,0.374,"Fallopian tube [0.06], Ovary [0.05], Testis [0.05]",0.162,"Kidney [0.05], Thyroid [0.04], Lung [0.04]",0.212,1,1,-0.483,3.43e-07,7.50e-01,7.50e-01,NS,156.625,343.382,445.799,4885.389,0.762,207.0,2.68e-02,3.79e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-450a-5p,0.37,"Kidney [0.06], Pancreas [0.05], Lung [0.05]",0.334,"Testis [0.06], Fallopian Tube [0.05], Spleen [0.05]",0.036,4,4,0.51,2.44e-08,6.37e-01,6.37e-01,NS,175.962,839.533,41.286,189.008,-1.648,509.0,5.45e-04,1.02e-03,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-340-3p,0.369,"Bone Marrow [0.06], Lung [0.06], Pancreas [0.06]",0.262,"Brain [0.05], Whole Blood [0.05], Liver [0.04]",0.107,1,0,0.475,2.42e-05,5.00e-01,1.00e+00,NS,218.171,946.812,36.184,158.859,-2.693,623.0,2.08e-08,1.57e-07,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-590-3p,0.369,"Bone Marrow [0.06], Kidney [0.06], Lung [0.06]",0.267,"Spleen [0.05], Heart [0.05], Kidney [0.05]",0.102,4,1,0.807,3.81e-11,1.88e-01,9.69e-01,NS,21.817,55.042,18.369,59.326,-0.508,409.0,1.16e-01,1.46e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-196a-5p,0.368,"Kidney [0.06], Breast [0.06], Soft Tissues [0.05]",0.639,"Skin [0.10], Kidney [0.10], Soft Tissues [0.09]",-0.27,12,1,3.247,5.90e-15,1.71e-03,1.00e+00,UP,75.119,661.16,337.215,1757.924,3.372,123.0,1.47e-04,3.04e-04,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-582-5p,0.367,"Bone Marrow [0.06], Lung [0.05], Lymph nodes [0.05]",0.362,"Brain [0.06], Bladder [0.06], Kidney [0.06]",0.004,2,3,-0.492,1.93e-05,8.12e-01,5.00e-01,NS,12.706,31.841,37.295,185.187,1.666,79.0,3.73e-06,1.10e-05,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-335-5p,0.365,"Kidney [0.06], Pancreas [0.06], Lung [0.06]",0.367,"Omentum [0.06], Spleen [0.06], Breast [0.06]",-0.002,3,4,-0.723,2.27e-08,7.73e-01,5.00e-01,NS,131.616,706.369,83.46,425.271,-0.531,400.0,1.60e-01,1.98e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-382-5p,0.362,"Testis [0.06], Adrenal Gland [0.06], Peritoneum [0.06]",0.407,"Adrenal Gland [0.06], Brain [0.06], Spleen [0.05]",-0.044,2,1,0.101,2.14e-04,5.00e-01,8.75e-01,NS,131.268,1089.847,119.779,606.455,-0.1,337.0,8.28e-01,8.52e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-27b-5p,0.357,"Fallopian tube [0.06], Mucosa [0.05], Esophagus [0.05]",0.265,"Heart [0.05], Mucosa [0.05], Skin [0.05]",0.092,1,1,0.135,4.24e-06,7.50e-01,7.50e-01,NS,52.867,159.221,49.236,261.16,-0.163,376.0,3.41e-01,3.93e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-145-3p,0.356,"Pancreas [0.06], Lung [0.06], Kidney [0.06]",0.207,"Esophagus [0.05], Colon–Intestine [0.05], Bladder [0.05]",0.149,1,12,-1.531,2.31e-19,1.00e+00,1.71e-03,DOWN,1093.823,3658.944,158.173,852.16,-2.981,580.0,1.62e-06,5.42e-06,GTEx_UP,Non-specific miR,DOWNREGULATED
hsa-mir-502-3p,0.355,"Kidney [0.06], Lung [0.06], Pancreas [0.06]",0.541,"Kidney [0.08], Spleen [0.06], Testis [0.05]",-0.185,2,1,-0.46,1.98e-10,5.00e-01,8.75e-01,NS,4.812,26.689,52.159,196.456,2.956,12.0,3.90e-09,4.75e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-342-5p,0.354,"Bone Marrow [0.06], Lymph nodes [0.06], Breast [0.06]",0.312,"Spleen [0.05], Whole Blood [0.05], Lung [0.05]",0.042,3,2,0.642,4.75e-08,5.00e-01,8.12e-01,NS,60.957,250.589,32.159,123.643,-1.003,486.0,2.49e-03,4.11e-03,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-127-5p,0.353,"Adrenal Gland [0.06], Testis [0.06], Peritoneum [0.05]",0.55,"Adrenal Gland [0.08], Brain [0.08], Testis [0.06]",-0.197,3,3,-0.599,7.43e-12,6.56e-01,6.56e-01,NS,15.098,109.74,949.237,7454.773,5.345,8.0,2.47e-09,3.47e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-205-5p,0.352,"Mucosa [0.06], Thymus [0.06], Thorax [0.06]",0.496,"Skin [0.07], Mucosa [0.07], Vagina [0.07]",-0.145,9,4,2.049,4.69e-09,1.33e-01,9.54e-01,NS,5207.741,42537.077,7962.567,40515.812,2.129,215.0,3.91e-02,5.31e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-429,0.351,"Uterus [0.06], Pancreas [0.06], Colon [0.06]",0.372,"Kidney [0.06], Stomach [0.06], Salivary Gland [0.06]",-0.021,5,1,1.525,4.82e-18,1.09e-01,9.84e-01,NS,511.147,2020.674,388.089,1678.4,-0.05,340.0,7.85e-01,8.14e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-96-5p,0.351,"Testis [0.06], Thymus [0.05], Thorax [0.05]",0.351,"Pancreas [0.06], Salivary Gland [0.06], Mucosa [0.05]",0.0,14,0,2.428,1.47e-30,6.10e-05,1.00e+00,UP,39.425,122.7,70.789,321.114,0.955,220.0,4.90e-02,6.58e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-501-5p,0.351,"Kidney [0.06], Uterus [0.06], Skin [0.05]",0.339,"Whole Blood [0.06], Kidney [0.05], Testis [0.05]",0.012,3,3,0.651,2.91e-07,6.56e-01,6.56e-01,NS,50.547,225.384,16.296,39.853,-1.442,548.0,2.76e-05,6.75e-05,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-339-3p,0.35,"Fallopian tube [0.06], Lung [0.05], Pancreas [0.05]",0.246,"Whole Blood [0.05], Brain [0.04], Thyroid [0.04]",0.104,1,0,0.41,1.70e-05,5.00e-01,1.00e+00,NS,269.145,1255.741,36.613,173.391,-2.926,644.0,1.96e-09,3.21e-08,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-141-5p,0.348,"Testis [0.06], Bladder [0.05], Mucosa [0.05]",0.52,"Salivary Gland [0.08], Stomach [0.08], Thyroid [0.08]",-0.172,9,2,1.171,6.76e-11,3.27e-02,9.94e-01,UP,9.311,26.65,749.59,3232.519,5.426,45.0,1.39e-07,7.03e-07,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-214-5p,0.348,"Soft Tissues [0.06], Fallopian tube [0.06], Peritoneum [0.06]",0.255,"Ovary [0.05], Spleen [0.05], Uterus–Cervix [0.04]",0.093,1,5,-0.674,1.51e-05,9.84e-01,1.09e-01,NS,190.652,694.578,61.536,245.925,-1.817,543.0,4.16e-05,9.82e-05,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-144-5p,0.348,"Bone Marrow [0.06], Testis [0.05], Kidney [0.05]",0.482,"Spleen [0.07], Lung [0.07], Kidney [0.06]",-0.135,5,6,-0.937,2.39e-16,7.26e-01,5.00e-01,NS,21.727,113.219,368.522,3212.688,4.025,29.0,2.58e-08,1.75e-07,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-7-1-3p,0.343,"Bone Marrow [0.06], Lymph nodes [0.06], Testis [0.05]",0.454,"Brain [0.07], Spleen [0.05], Testis [0.05]",-0.11,5,0,0.669,2.11e-05,3.12e-02,1.00e+00,UP,11.979,66.368,63.376,292.942,2.091,45.0,1.39e-07,7.03e-07,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-30c-2-3p,0.342,"Kidney [0.06], Thyroid [0.05], Skin [0.05]",0.417,"Kidney [0.06], Lung [0.05], Thyroid [0.05]",-0.075,1,8,-1.416,1.69e-17,9.98e-01,1.95e-02,DOWN,96.592,881.494,92.217,444.372,0.177,307.0,7.42e-01,7.71e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-362-5p,0.34,"Skin [0.06], Kidney [0.06], Uterus [0.05]",0.259,"Kidney [0.05], Spleen [0.04], Whole Blood [0.04]",0.081,4,2,0.554,6.14e-14,3.44e-01,8.91e-01,NS,155.645,660.467,69.956,321.089,-1.46,534.0,8.54e-05,1.85e-04,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-409-3p,0.34,"Fallopian tube [0.06], Adrenal Gland [0.06], Testis [0.05]",0.456,"Adrenal Gland [0.07], Brain [0.06], Spleen [0.05]",-0.116,2,0,0.545,2.72e-07,2.50e-01,1.00e+00,NS,171.751,2109.634,186.064,934.106,0.458,257.0,2.03e-01,2.43e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-194-5p,0.34,"Colon [0.06], Liver–Gallbladder [0.06], Stomach [0.06]",0.426,"Liver [0.07], Colon–Intestine [0.06], Kidney [0.06]",-0.086,5,1,0.85,7.70e-07,1.09e-01,9.84e-01,NS,1164.206,9662.426,5675.213,31688.348,2.261,135.0,3.56e-04,7.02e-04,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
