miRNA,Tau_TCGA,TCGA_tissues,Tau_GTEx,GTEx_tissues,Delta_Tau,DE_n_projects_up,DE_n_projects_down,DE_median_log2fc,DE_median_padj,binom_p_up,binom_p_down,Binomial_result,CPM_GTEx_mean,CPM_GTEx_max,CPM_TCGA_mean,CPM_TCGA_max,TCGA_GTEx_log2FC,MW_statistic_TCGA_GTEx,TCGA_GTEx_p_value,TCGA_GTEx_padj,TCGA_GTEx_Direction,Specificity_class,Dysregulated_class
hsa-mir-223-5p,0.689,"Bone Marrow [0.12], Lymph nodes [0.07], Lung [0.06]",0.554,"Spleen [0.08], Lung [0.07], Omentum [0.06]",0.135,2,1,-0.552,2.08e-04,5.00e-01,8.75e-01,NS,32.833,343.339,33.457,617.45,-0.748,441.0,2.95e-02,4.11e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-885-5p,0.688,"Liver–Gallbladder [0.12], Ovary [0.09], Brain [0.08]",0.791,"Liver [0.16], Brain [0.14], Whole Blood [0.12]",-0.104,7,3,2.143,3.60e-09,1.72e-01,9.45e-01,NS,38.472,547.988,42.667,630.977,0.956,222.0,5.34e-02,7.11e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-519a-5p,0.681,"Thymus [0.12], Thorax [0.11], Testis [0.11]",0.937,"Testis [0.39], Lung [0.10], Thyroid [0.10]",-0.257,8,1,3.208,3.86e-10,1.95e-02,9.98e-01,UP,3.459,79.756,311.381,3027.974,3.442,60.0,6.22e-07,2.48e-06,TCGA_UP,Normal-tissue-specific miR,UPREGULATED
hsa-mir-30c-1-3p,0.679,"Fallopian tube [0.12], Ovary [0.07], Colon [0.05]",0.36,"Heart [0.06], Kidney [0.05], Liver [0.05]",0.319,1,3,-0.867,2.16e-08,9.38e-01,3.12e-01,NS,12.571,45.726,7.915,100.352,-1.336,592.0,5.13e-07,2.06e-06,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-376b-3p,0.666,"Testis [0.11], Adrenal Gland [0.08], Peritoneum [0.08]",0.789,"Adrenal Gland [0.16], Spleen [0.08], Brain [0.08]",-0.123,2,3,-0.625,8.16e-05,8.12e-01,5.00e-01,NS,1.877,21.667,7.73,76.457,1.204,126.0,1.84e-04,3.75e-04,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-3909,0.663,"Fallopian tube [0.11], Pancreas [0.07], Lung [0.07]",0.317,"Whole Blood [0.06], Adrenal Gland [0.05], Heart [0.05]",0.346,1,0,0.481,1.17e-05,5.00e-01,1.00e+00,NS,29.394,110.87,4.206,34.306,-2.879,631.0,8.60e-09,8.26e-08,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-133b,0.662,"Mucosa [0.11], Soft Tissues [0.07], Prostate [0.07]",0.651,"Heart [0.10], Soft Tissues [0.10], Salivary Gland [0.06]",0.011,2,13,-2.193,7.11e-14,1.00e+00,3.69e-03,DOWN,50.53,541.361,12.718,134.571,-0.772,404.0,1.39e-01,1.74e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-376a-3p,0.659,"Testis [0.11], Adrenal Gland [0.08], Peritoneum [0.08]",0.581,"Adrenal Gland [0.09], Brain [0.08], Spleen [0.05]",0.077,3,4,-0.26,1.25e-03,7.73e-01,5.00e-01,NS,16.466,145.465,12.563,128.683,-0.602,394.0,1.97e-01,2.36e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-125b-1-3p,0.655,"Fallopian tube [0.11], Ovary [0.08], Brain [0.06]",0.188,"Thyroid [0.05], Brain [0.05], Testis [0.05]",0.467,1,4,-0.851,2.80e-05,9.69e-01,1.88e-01,NS,94.64,193.183,21.669,303.849,-3.19,597.0,3.13e-07,1.35e-06,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-129-2-3p,0.652,"Adrenal Gland [0.11], Brain [0.10], Lymph nodes [0.10]",0.814,"Brain [0.18], Testis [0.12], Adrenal Gland [0.08]",-0.162,2,5,-2.176,6.41e-10,9.38e-01,2.27e-01,NS,9.966,185.548,10.47,69.962,0.645,249.0,1.55e-01,1.92e-01,NS,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-379-3p,0.65,"Testis [0.11], Peritoneum [0.07], Adrenal Gland [0.07]",0.624,"Adrenal Gland [0.10], Brain [0.09], Testis [0.06]",0.026,0,6,-1.219,8.65e-05,1.00e+00,1.56e-02,DOWN,7.107,56.89,5.02,40.004,-0.335,383.0,2.79e-01,3.27e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-760,0.649,"Ovary [0.11], Skin [0.08], Lymph nodes [0.06]",0.593,"Testis [0.09], Brain [0.08], Omentum [0.06]",0.056,11,1,1.576,3.29e-10,3.17e-03,1.00e+00,UP,17.563,161.625,5.467,46.0,-1.029,481.0,3.39e-03,5.47e-03,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-154-3p,0.643,"Testis [0.10], Adrenal Gland [0.08], Peritoneum [0.07]",0.612,"Brain [0.09], Adrenal Gland [0.09], Spleen [0.06]",0.031,4,3,0.664,1.21e-04,5.00e-01,7.73e-01,NS,18.127,187.529,21.363,253.165,-0.037,327.0,9.77e-01,9.80e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-487a-5p,0.642,"Adrenal Gland [0.10], Testis [0.08], Peritoneum [0.08]",0.601,"Brain [0.09], Adrenal Gland [0.09], Testis [0.06]",0.041,1,5,-1.112,1.75e-05,9.84e-01,1.09e-01,NS,8.134,56.478,6.445,48.914,-0.307,394.0,1.97e-01,2.36e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-299-3p,0.641,"Testis [0.10], Peritoneum [0.08], Soft Tissues [0.07]",0.593,"Adrenal Gland [0.09], Brain [0.07], Ovary [0.07]",0.048,2,4,-0.979,1.62e-03,8.91e-01,3.44e-01,NS,5.085,30.972,5.365,41.157,-0.095,348.0,6.72e-01,7.06e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-944,0.627,"Mucosa [0.10], Esophagus [0.10], Bladder [0.09]",0.779,"Skin [0.15], Mucosa [0.15], Vagina [0.11]",-0.151,10,1,1.515,6.65e-07,5.86e-03,1.00e+00,UP,7.061,66.165,53.13,402.738,1.898,175.0,4.85e-03,7.49e-03,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-487a-3p,0.626,"Testis [0.10], Adrenal Gland [0.10], Peritoneum [0.08]",0.668,"Brain [0.11], Adrenal Gland [0.10], Spleen [0.06]",-0.042,3,1,1.387,8.84e-06,3.12e-01,9.38e-01,NS,23.03,294.489,5.283,30.706,-0.938,454.0,1.55e-02,2.23e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-25-5p,0.612,"Fallopian tube [0.10], Testis [0.07], Bone Marrow [0.07]",0.543,"Whole Blood [0.08], Testis [0.06], Skin [0.05]",0.069,10,0,1.882,2.56e-08,9.77e-04,1.00e+00,UP,5.397,30.532,10.006,78.587,0.242,288.0,4.92e-01,5.35e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-206,0.611,"Mucosa [0.10], Soft Tissues [0.09], Uterus [0.08]",0.669,"Soft Tissues [0.11], Salivary Gland [0.09], Prostate [0.07]",-0.057,1,7,-3.042,7.65e-07,9.96e-01,3.52e-02,DOWN,695.132,14873.714,312.355,3219.475,-0.06,339.0,7.99e-01,8.26e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-377-3p,0.605,"Testis [0.10], Adrenal Gland [0.09], Peritoneum [0.08]",0.54,"Adrenal Gland [0.08], Spleen [0.07], Brain [0.06]",0.065,2,4,-0.705,1.95e-05,8.91e-01,3.44e-01,NS,11.674,80.823,5.654,31.807,-0.918,480.0,3.60e-03,5.79e-03,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-615-3p,0.598,"Kidney [0.09], Breast [0.07], Fallopian tube [0.07]",0.636,"Kidney [0.10], Soft Tissues [0.09], Skin [0.08]",-0.038,9,1,2.301,7.03e-08,1.07e-02,9.99e-01,UP,53.445,444.762,27.799,281.697,0.098,299.0,6.31e-01,6.68e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-194-3p,0.594,"Colon [0.09], Stomach [0.09], Esophagus [0.08]",0.771,"Liver [0.15], Colon–Intestine [0.14], Kidney [0.12]",-0.176,3,3,0.189,2.25e-06,6.56e-01,6.56e-01,NS,14.191,147.981,53.756,382.53,1.899,123.0,1.47e-04,3.04e-04,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-383-5p,0.592,"Thymus [0.09], Thorax [0.09], Brain [0.08]",0.702,"Brain [0.12], Ovary [0.10], Testis [0.08]",-0.111,2,5,-1.808,1.42e-05,9.38e-01,2.27e-01,NS,17.99,204.108,17.0,113.547,0.455,269.0,2.96e-01,3.46e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-192-3p,0.592,"Colon [0.09], Stomach [0.09], Liver–Gallbladder [0.09]",0.824,"Liver [0.18], Colon–Intestine [0.17], Kidney [0.16]",-0.232,3,3,-0.483,1.26e-04,6.56e-01,6.56e-01,NS,3.498,30.847,39.755,251.198,2.432,82.0,4.89e-06,1.40e-05,TCGA_UP,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-433-3p,0.586,"Adrenal Gland [0.09], Peritoneum [0.08], Thorax [0.07]",0.533,"Brain [0.08], Adrenal Gland [0.07], Testis [0.05]",0.053,2,6,-1.32,3.98e-10,9.65e-01,1.45e-01,NS,76.903,921.411,30.776,278.059,-1.266,463.0,9.58e-03,1.43e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-514a-3p,0.583,"Skin [0.09], Adrenal Gland [0.09], Testis [0.08]",0.647,"Testis [0.10], Kidney [0.07], Adrenal Gland [0.07]",-0.063,4,6,-1.338,5.53e-12,8.28e-01,3.77e-01,NS,5671.295,138073.955,472.657,4815.785,-1.067,415.0,9.17e-02,1.18e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-153-3p,0.582,"Brain [0.09], Adrenal Gland [0.09], Peritoneum [0.06]",0.676,"Brain [0.11], Testis [0.07], Stomach [0.06]",-0.094,3,2,0.777,1.22e-04,5.00e-01,8.12e-01,NS,21.819,362.255,8.704,52.244,-0.411,375.0,3.51e-01,4.03e-01,NS,Non-specific miR,NOT_SIGNIFICANT
