,mature_name,Tau_tcga,tcga_tissues
367,hsa-mir-183-5p,0.1476344452887051,"Testis [0.05], Breast [0.05], Bladder [0.04]"
368,hsa-mir-92a-3p,0.14729064860595206,"Lymph nodes [0.05], Bone Marrow [0.05], Ovary [0.05]"
369,hsa-mir-25-3p,0.14301420459645497,"Bone Marrow [0.05], Lymph nodes [0.04], Skin [0.04]"
370,hsa-mir-140-3p,0.14289540975918752,"Bone Marrow [0.05], Skin [0.05], Lymph nodes [0.04]"
371,hsa-let-7e-5p,0.14004977384853606,"Fallopian tube [0.05], Adrenal Gland [0.05], Soft Tissues [0.04]"
372,hsa-mir-23a-3p,0.1364237220581772,"Pancreas [0.05], Lung [0.05], Mucosa [0.04]"
373,hsa-mir-27a-3p,0.1361776257126088,"Mucosa [0.05], Pancreas [0.04], Lung [0.04]"
374,hsa-mir-30b-5p,0.13600173161400206,"Lung [0.05], Kidney [0.05], Bone Marrow [0.05]"
375,hsa-mir-101-3p,0.1359800635515541,"Thorax [0.05], Thymus [0.05], Thyroid [0.04]"
376,hsa-mir-126-3p,0.13548622698823798,"Bone Marrow [0.05], Kidney [0.05], Thyroid [0.04]"
377,hsa-mir-10b-5p,0.13432499262642242,"Adrenal Gland [0.05], Kidney [0.05], Peritoneum [0.04]"
378,hsa-mir-21-3p,0.13397120108163213,"Mucosa [0.05], Lymph nodes [0.04], Esophagus [0.04]"
379,hsa-mir-143-3p,0.1302369485753855,"Prostate [0.05], Stomach [0.04], Peritoneum [0.04]"
380,hsa-mir-28-3p,0.12883093311692365,"Lymph nodes [0.05], Bone Marrow [0.04], Esophagus [0.04]"
381,hsa-mir-30e-5p,0.12777377743826948,"Bone Marrow [0.05], Lymph nodes [0.04], Thymus [0.04]"
382,hsa-let-7b-5p,0.12323923528522178,"Ovary [0.05], Thymus [0.04], Thorax [0.04]"
383,hsa-mir-24-3p,0.1229726728922737,"Mucosa [0.05], Lung [0.04], Pancreas [0.04]"
384,hsa-mir-145-5p,0.12025206467222344,"Stomach [0.05], Prostate [0.04], Pancreas [0.04]"
385,hsa-mir-29a-3p,0.1137978306956432,"Thyroid [0.04], Skin [0.04], Lymph nodes [0.04]"
386,hsa-mir-152-3p,0.1131514726945878,"Skin [0.04], Mucosa [0.04], Thyroid [0.04]"
387,hsa-mir-30e-3p,0.11296144252103747,"Bone Marrow [0.04], Lymph nodes [0.04], Thyroid [0.04]"
388,hsa-mir-148a-3p,0.10988550494320808,"Liver–Gallbladder [0.04], Colon [0.04], Thymus [0.04]"
389,hsa-mir-532-5p,0.10370251160498005,"Skin [0.04], Thorax [0.04], Soft Tissues [0.04]"
390,hsa-mir-151a-3p,0.10224772245483398,"Fallopian tube [0.04], Skin [0.04], Bladder [0.04]"
391,hsa-mir-30d-5p,0.08851402435921145,"Skin [0.04], Lung [0.04], Kidney [0.04]"
392,hsa-mir-361-5p,0.08752641416045903,"Bone Marrow [0.04], Skin [0.04], Thorax [0.04]"
393,hsa-mir-22-3p,0.07375595088391101,"Liver–Gallbladder [0.04], Soft Tissues [0.04], Thyroid [0.04]"
