mature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,project_id,n_normal,n_tumor
hsa-mir-516b-5p,1.7523696130878232,0.6413532695183324,0.39804517579069254,1.6112574866516673,0.10712361275042913,0.13512978601851516,TCGA-HNSC,44,515
hsa-mir-517a-3p,4.157058770543179,0.051048372019383725,0.36705756926123323,0.13907456566589102,0.8893912265420011,0.9129970852400232,TCGA-HNSC,44,515
hsa-mir-517b-3p,4.162110594798219,0.05274059472828612,0.3671020036173259,0.14366741180542264,0.8857631057951009,0.9129970852400232,TCGA-HNSC,44,515
hsa-mir-517c-3p,0.3816612241228032,0.44718809372687046,0.6328860907819166,0.7065854349467209,0.47982414286026553,0.5322187331725934,TCGA-HNSC,44,515
hsa-mir-518a-3p,0.7805889070499704,0.8342270382762167,0.48583787250702604,1.7170893532268883,0.08596284719937626,0.11210019938837579,TCGA-HNSC,44,515
hsa-mir-518b,3.506020057187702,0.6405961866886407,0.33188701844937424,1.9301634323680446,0.05358659088462083,0.0725769266016268,TCGA-HNSC,44,515
hsa-mir-518e-3p,1.120480337973713,0.17106158416889752,0.4209526567948123,0.40636775040543144,0.6844724117592049,0.7238530162713784,TCGA-HNSC,44,515
hsa-mir-519a-5p,6.789474239807151,2.4874886568460246,0.45983745310267393,5.409495551226033,6.320252076274059e-08,1.5440615831910042e-07,TCGA-HNSC,44,515
hsa-mir-519d-3p,1.0701230682143847,0.5221325331147298,0.45512100552702456,1.1472389249758022,0.2512828881714162,0.30029472084881315,TCGA-HNSC,44,515
hsa-mir-520a-3p,1.9378894965285873,-0.429047006213699,0.3944321117097302,-1.0877588144482582,0.27670159575811737,0.32863635680810244,TCGA-HNSC,44,515
hsa-mir-520a-5p,1.1736913797789483,0.3581584490515015,0.4293993990824417,0.8340916401299797,0.4042293456470666,0.4575733941928672,TCGA-HNSC,44,515
hsa-mir-520c-3p,0.9044950986723529,1.2498003082224822,0.5113190250284151,2.444267173811943,0.014514673228899213,0.021548707178288832,TCGA-HNSC,44,515
hsa-mir-520f-3p,1.467284591616183,1.4585926175637134,0.450319666018872,3.2390160315640903,0.0011994283149968212,0.0020306110946876005,TCGA-HNSC,44,515
hsa-mir-522-3p,1.0215447878866404,1.7978329133191016,0.6578838789070531,2.7327511297371405,0.006280777019447316,0.009815303358326574,TCGA-HNSC,44,515
hsa-mir-532-3p,104.6975854803312,0.5579157471971837,0.10311501402469998,5.410616024001525,6.280831426902706e-08,1.5440615831910042e-07,TCGA-HNSC,44,515
hsa-mir-532-5p,2816.1608604669777,-0.2155469891070113,0.08512197232695695,-2.5322132842397798,0.011334502360814342,0.017224873666434392,TCGA-HNSC,44,515
hsa-mir-539-3p,2.811088315407511,-1.061753894175805,0.21800087590879696,-4.8704111382561655,1.1136627756927342e-06,2.5286695965729143e-06,TCGA-HNSC,44,515
hsa-mir-539-5p,21.584759692691225,-1.311201331826616,0.20923844822582047,-6.266541082409017,3.691560264932547e-10,1.0961094325107409e-09,TCGA-HNSC,44,515
hsa-mir-542-3p,940.0977530005002,0.40903995181496516,0.1254801621357651,3.2597977628718584,0.0011149168140574613,0.0019212405813668753,TCGA-HNSC,44,515
hsa-mir-543,4.213319124079927,-0.8574739450219456,0.2403480608908562,-3.5676341296189227,0.0003602189984615779,0.0006589788313088582,TCGA-HNSC,44,515
hsa-mir-551b-3p,3.8193729580552103,0.22778666886909635,0.31256909893167323,0.7287562003014568,0.46615080822754307,0.5215484405096569,TCGA-HNSC,44,515
hsa-mir-552-3p,0.2685167021467241,-1.0463092310718576,0.6675517509795961,-1.567382947518983,0.11702520741662502,0.1461868286822565,TCGA-HNSC,44,515
hsa-mir-574-3p,280.57475801880753,-0.022957270312168845,0.10616287677427874,-0.2162457443667442,0.8287961981276756,0.8599874528959214,TCGA-HNSC,44,515
hsa-mir-576-5p,51.71680564201709,0.7901937730013686,0.11420641897274465,6.9189961484559666,4.5485522855581464e-12,1.596128347477677e-11,TCGA-HNSC,44,515
hsa-mir-582-3p,1394.4384948090994,-0.25975621386453024,0.1526166082777639,-1.702017996571979,0.0887519946935782,0.1153477102751555,TCGA-HNSC,44,515
hsa-mir-582-5p,61.93928841108305,-0.1336793429590444,0.14812330587875513,-0.9024868987765254,0.3667982778696385,0.42258104751706865,TCGA-HNSC,44,515
hsa-mir-584-5p,755.3098209172348,0.7987727620173408,0.20232960452774942,3.947878828121712,7.884669207633972e-05,0.00015688053165704706,TCGA-HNSC,44,515
hsa-mir-589-5p,275.15149557245564,0.6962974141502652,0.09073048134363146,7.6743493899598905,1.662603401629622e-14,7.130721255878157e-14,TCGA-HNSC,44,515
hsa-mir-590-3p,25.237427542358734,0.09765609738094644,0.10808827880067015,0.9034846189107877,0.3662687478754134,0.42258104751706865,TCGA-HNSC,44,515
hsa-mir-592,9.726858106309658,1.8357103504360681,0.24514904048300915,7.48814005887695,6.985646036056183e-14,2.8088118436642566e-13,TCGA-HNSC,44,515
hsa-mir-598-3p,80.89925409160058,-0.4835626610849611,0.14843388124903228,-3.2577647166260677,0.0011229346879071732,0.0019264568423651947,TCGA-HNSC,44,515
hsa-mir-615-3p,10.023553354917171,4.66599313424787,0.374077145682406,12.473344571040245,1.0435238864266577e-35,2.5175013760043116e-34,TCGA-HNSC,44,515
hsa-mir-628-5p,41.32430372967455,-0.2664434063117124,0.17864460306894447,-1.4914719041855617,0.13583764229013576,0.1675186259552473,TCGA-HNSC,44,515
hsa-mir-629-3p,22.47895079742159,1.3361451583657271,0.14715783898443818,9.079673686340444,1.08900846827532e-19,6.467034903911901e-19,TCGA-HNSC,44,515
hsa-mir-629-5p,603.4583999282139,0.2559478375570659,0.09898559782270981,2.585707852322987,0.00971792603299393,0.01488539463783991,TCGA-HNSC,44,515
hsa-mir-651-5p,17.99718738692798,0.3554808017872331,0.14616750690519567,2.4320097490463333,0.015015303154986169,0.022121782510781146,TCGA-HNSC,44,515
hsa-mir-652-3p,107.90805857992879,0.22301230092983193,0.10723419938233046,2.0796751616031446,0.03755533781426739,0.052333431033600046,TCGA-HNSC,44,515
hsa-mir-653-5p,24.03640592828361,-0.9944780909295355,0.18448865049910929,-5.390456747551182,7.027882981059072e-08,1.6954767691805012e-07,TCGA-HNSC,44,515
hsa-mir-654-3p,129.2863838924515,-1.7479586061813113,0.1992625070386788,-8.772139988392375,1.7530226936768208e-18,9.950981761165483e-18,TCGA-HNSC,44,515
hsa-mir-654-5p,8.169526149539651,-0.6308852602037228,0.18599820021486457,-3.391889058468985,0.000694125393195505,0.0012290477145571787,TCGA-HNSC,44,515
hsa-mir-655-3p,13.418750776797257,-1.5059664105156736,0.19543261377531593,-7.705809083877096,1.3001688241445257e-14,5.638934450784123e-14,TCGA-HNSC,44,515
