,miRNA,category,term,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes,preferredNames,p_value,fdr,description,source,fold_enrichment
37,ALL_UP,KEGG,hsa04151,35,349,9606,"PPP2CB,CCND1,PDGFRA,CDK4,MDM2,TLR2,PDGFRB,FGF2,CDK6,TP53,FLT1,CSF1R,KIT,MAP2K1,IRS1,MET,PPP2R5E,CREB5,THBS2,EFNA1,IL6R,MCL1,PTEN,CCND3,IFNB1,GRB2,IGF1,BCL2L11,BCL2,CDKN1A,PPP2CA,CCNE2,AKT1,MYC,IGF1R","PPP2CB,CCND1,PDGFRA,CDK4,MDM2,TLR2,PDGFRB,FGF2,CDK6,TP53,FLT1,CSF1R,KIT,MAP2K1,IRS1,MET,PPP2R5E,CREB5,THBS2,EFNA1,IL6R,MCL1,PTEN,CCND3,IFNB1,GRB2,IGF1,BCL2L11,BCL2,CDKN1A,PPP2CA,CCNE2,AKT1,MYC,IGF1R",3.29e-06,2.83e-05,PI3K-Akt signaling pathway,KEGG,1.844724736396795
38,ALL_UP,KEGG,hsa05213,13,58,9606,"CCND1,LEF1,TP53,BAX,MAP2K1,AXIN2,TCF7,PTEN,GRB2,CDKN1A,AKT1,MYC,CTNNB1","CCND1,LEF1,TP53,BAX,MAP2K1,AXIN2,TCF7,PTEN,GRB2,CDKN1A,AKT1,MYC,CTNNB1",3.21e-06,2.83e-05,Endometrial cancer,KEGG,4.122914349276974
39,ALL_UP,KEGG,hsa05230,14,68,9606,"PDGFRA,PDGFRB,TP53,KIT,MAP2K1,MET,PTEN,PFKP,PDK1,SLC2A1,HIF1A,LDHA,AKT1,MYC","PDGFRA,PDGFRB,TP53,KIT,MAP2K1,MET,PTEN,PFKP,PDK1,SLC2A1,HIF1A,LDHA,AKT1,MYC",3.22e-06,2.83e-05,Central carbon metabolism in cancer,KEGG,3.787111370602832
40,ALL_UP,KEGG,hsa05131,26,218,9606,"TAB1,WASL,PFN1,H3F3A,MDM2,TP53,FNBP1L,ATM,BAX,UBE2N,SEPT2,CRKL,BECN1,RRAGD,SRC,FOXO1,IFNB1,VDAC1,BCL2,UBE2D2,BCAR1,CD44,TNF,TECPR1,AKT1,RPS6KA5","TAB1,WASL,PFN1,H3-3B,MDM2,TP53,FNBP1L,ATM,BAX,UBE2N,SEPTIN6,CRKL,BECN1,RRAGD,SRC,FOXO1,IFNB1,VDAC1,BCL2,UBE2D2,BCAR1,CD44,TNF,TECPR1,AKT1,RPS6KA5",3.76e-06,3.09e-05,Shigellosis,KEGG,2.1938443326427937
41,ALL_UP,KEGG,hsa04152,18,120,9606,"SIRT1,PPP2CB,CCND1,CAB39,IRS1,HNF4A,PPP2R5E,CREB5,SCD,RAB14,FOXO1,PFKP,IGF1,ELAVL1,PPP2CA,AKT1,ACACA,IGF1R","SIRT1,PPP2CB,CCND1,CAB39,IRS1,HNF4A,PPP2R5E,CREB5,SCD,RAB14,FOXO1,PFKP,IGF1,ELAVL1,PPP2CA,AKT1,ACACA,IGF1R",7.38e-06,5.9e-05,AMPK signaling pathway,KEGG,2.759181141439206
42,ALL_UP,KEGG,hsa04350,15,91,9606,"PPP2CB,INHBA,NODAL,INHBB,RGMB,SMAD4,THSD4,TGFBR2,BMP8B,TGIF2,BMP2,BMP7,TNF,PPP2CA,MYC","PPP2CB,INHBA,NODAL,INHBB,RGMB,SMAD4,THSD4,TGFBR2,BMP8B,TGIF2,BMP2,BMP7,TNF,PPP2CA,MYC",1.57e-05,0.00012,TGF-beta signaling pathway,KEGG,3.032067188394732
43,ALL_UP,KEGG,hsa04140,18,131,9606,"PPP2CB,RRAS2,EIF2S1,STX17,NRBF2,ATG10,MAP2K1,IRS1,HMGB1,ATG2B,BECN1,RRAGD,PTEN,BCL2,PPP2CA,HIF1A,AKT1,IGF1R","PPP2CB,RRAS2,EIF2S1,STX17,NRBF2,ATG10,MAP2K1,IRS1,HMGB1,ATG2B,BECN1,RRAGD,PTEN,BCL2,PPP2CA,HIF1A,AKT1,IGF1R",2.15e-05,0.00016,Autophagy - animal,KEGG,2.527494175364158
44,ALL_UP,KEGG,hsa05135,17,124,9606,"TAB1,WASL,ZAP70,MAP2K1,FOS,WIPF2,LIMK1,CRKL,PIP5K1A,VAV3,SRC,RPS6KA3,IFNB1,BCAR1,TNF,MAP2K4,AKT1","TAB1,WASL,ZAP70,MAP2K1,FOS,WIPF2,LIMK1,CRKL,PIP5K1A,VAV3,SRC,RPS6KA3,IFNB1,BCAR1,TNF,MAP2K4,AKT1",3.7e-05,0.00027,Yersinia infection,KEGG,2.5218322260465866
45,ALL_UP,KEGG,hsa05162,18,137,9606,"CCND1,RAB9B,EIF2S1,CDK4,TLR2,STAT3,CDK6,TP53,BAX,FOS,HSPA6,CASP3,CCND3,IFNB1,BCL2,CCNE2,HSPA8,AKT1","CCND1,RAB9B,EIF2S1,CDK4,TLR2,STAT3,CDK6,TP53,BAX,FOS,HSPA6,CASP3,CCND3,IFNB1,BCL2,CCNE2,HSPA8,AKT1",3.67e-05,0.00027,Measles,KEGG,2.4168009998007642
46,ALL_UP,KEGG,hsa04722,16,112,9606,"ARHGDIB,TP53,BAX,MAP2K1,IRS1,PSEN1,CRKL,MAP3K5,RAP1A,RAPGEF1,RPS6KA3,GRB2,BCL2,AKT1,RPS6KA5,PTPN11","ARHGDIB,TP53,BAX,MAP2K1,IRS1,PSEN1,CRKL,MAP3K5,RAP1A,RAPGEF1,RPS6KA3,GRB2,BCL2,AKT1,RPS6KA5,PTPN11",3.99e-05,0.00029,Neurotrophin signaling pathway,KEGG,2.627791563275434
47,ALL_UP,KEGG,hsa05211,12,65,9606,"MAP2K1,MET,CRKL,EGLN1,RAP1A,RAPGEF1,GRB2,CDKN1A,SLC2A1,HIF1A,AKT1,PTPN11","MAP2K1,MET,CRKL,EGLN1,RAP1A,RAPGEF1,GRB2,CDKN1A,SLC2A1,HIF1A,AKT1,PTPN11",4.15e-05,0.00029,Renal cell carcinoma,KEGG,3.3959152510020996
48,ALL_UP,KEGG,hsa05203,21,183,9606,"CCND1,TBPL1,CDK4,MDM2,STAT3,CDK6,RB1,TP53,BAX,CASP3,CREB5,CCND3,HDAC1,SRC,IL6ST,GRB2,CDK1,CDKN1A,CDKN2A,CCNE2,GTF2H3","CCND1,TBPL1,CDK4,MDM2,STAT3,CDK6,RB1,TP53,BAX,CASP3,CREB5,CCND3,HDAC1,SRC,IL6ST,GRB2,CDK1,CDKN1A,CDKN2A,CCNE2,GTF2H3",5.25e-05,0.00036,Viral carcinogenesis,KEGG,2.110848960663873
49,ALL_UP,KEGG,hsa05216,9,37,9606,"CCND1,LEF1,TP53,BAX,MAP2K1,TCF7,CDKN1A,MYC,CTNNB1","CCND1,LEF1,TP53,BAX,MAP2K1,TCF7,CDKN1A,MYC,CTNNB1",6.09e-05,0.00041,Thyroid cancer,KEGG,4.474347796928441
50,ALL_UP,KEGG,hsa04015,22,201,9606,"PFN1,F2RL3,PDGFRA,PDGFRB,FGF2,FLT1,CSF1R,KIT,MAP2K1,MET,CRKL,EFNA1,RAP1A,VAV3,PARD6B,RAPGEF1,SRC,IGF1,BCAR1,AKT1,CTNNB1,IGF1R","PFN1,F2RL3,PDGFRA,PDGFRB,FGF2,FLT1,CSF1R,KIT,MAP2K1,MET,CRKL,EFNA1,RAP1A,VAV3,PARD6B,RAPGEF1,SRC,IGF1,BCAR1,AKT1,CTNNB1,IGF1R",6.69e-05,0.00044,Rap1 signaling pathway,KEGG,2.013332839524462
51,ALL_UP,KEGG,hsa01524,12,70,9606,"MSH2,MDM2,TP53,ATM,BAX,CASP3,MAP3K5,XIAP,BCL2,CDKN1A,CDKN2A,AKT1","MSH2,MDM2,TP53,ATM,BAX,CASP3,MAP3K5,XIAP,BCL2,CDKN1A,CDKN2A,AKT1",7.83e-05,0.00051,Platinum drug resistance,KEGG,3.1533498759305214
52,ALL_UP,KEGG,hsa04933,14,96,9606,"SERPINE1,CCND1,CDK4,STAT3,BAX,CASP3,F3,SMAD4,TGFBR2,FOXO1,BCL2,TNF,AGTR1,AKT1","SERPINE1,CCND1,CDK4,STAT3,BAX,CASP3,F3,SMAD4,TGFBR2,FOXO1,BCL2,TNF,AGTR1,AKT1",9.8e-05,0.00062,AGE-RAGE signaling pathway in diabetic complications,KEGG,2.6825372208436726
53,ALL_UP,KEGG,hsa05217,11,63,9606,"LEF1,TP53,FZD1,BAX,WNT1,AXIN2,TCF7,FZD6,BMP2,CDKN1A,CTNNB1","LEF1,TP53,FZD1,BAX,WNT1,AXIN2,TCF7,FZD6,BMP2,CDKN1A,CTNNB1",0.00013,0.00083,Basal cell carcinoma,KEGG,3.2117452440033083
54,ALL_UP,KEGG,hsa04210,16,131,9606,"EIF2S1,TP53,TNFRSF10B,ATM,BAX,MAP2K1,FOS,CASP3,MAP3K5,MCL1,XIAP,DFFA,BCL2L11,BCL2,TNF,AKT1","EIF2S1,TP53,TNFRSF10B,ATM,BAX,MAP2K1,FOS,CASP3,MAP3K5,MCL1,XIAP,DFFA,BCL2L11,BCL2,TNF,AKT1",0.00021,0.0013,Apoptosis,KEGG,2.246661489212585
55,ALL_UP,KEGG,hsa05221,11,67,9606,"SPI1,CCND1,STAT3,LEF1,CSF1R,KIT,MAP2K1,TCF7,GRB2,AKT1,MYC","SPI1,CCND1,STAT3,LEF1,CSF1R,KIT,MAP2K1,TCF7,GRB2,AKT1,MYC",0.00022,0.0013,Acute myeloid leukemia,KEGG,3.0199992592866933
56,ALL_UP,KEGG,hsa04520,11,69,9606,"WASL,SNAI1,LEF1,MET,TCF7,SMAD4,TJP1,TGFBR2,SRC,CTNNB1,IGF1R","WASL,SNAI1,LEF1,MET,TCF7,SMAD4,TJP1,TGFBR2,SRC,CTNNB1,IGF1R",0.00027,0.0016,Adherens junction,KEGG,2.9324630488725862
57,ALL_UP,KEGG,hsa04014,22,225,9606,"EXOC2,PLA2G12A,RRAS2,PDGFRA,PDGFRB,FGF2,ZAP70,FLT1,CSF1R,KIT,MAP2K1,MET,RAB5B,EFNA1,SHOC2,RAP1A,GRB2,IGF1,ABL2,AKT1,PTPN11,IGF1R","EXOC2,PLA2G12A,RRAS2,PDGFRA,PDGFRB,FGF2,ZAP70,FLT1,CSF1R,KIT,MAP2K1,MET,RAB5B,EFNA1,SHOC2,RAP1A,GRB2,IGF1,ABL2,AKT1,PTPN11,IGF1R",0.00029,0.0017,Ras signaling pathway,KEGG,1.798577336641853
58,ALL_UP,KEGG,hsa04150,17,150,9606,"CAB39,WDR59,LAMTOR1,FZD1,WNT1,RICTOR,MAP2K1,IRS1,FZD6,RRAGD,PTEN,RPS6KA3,GRB2,IGF1,TNF,AKT1,IGF1R","CAB39,WDR59,LAMTOR1,FZD1,WNT1,RICTOR,MAP2K1,IRS1,FZD6,RRAGD,PTEN,RPS6KA3,GRB2,IGF1,TNF,AKT1,IGF1R",0.0003,0.0017,mTOR signaling pathway,KEGG,2.084714640198511
59,ALL_UP,KEGG,hsa04213,10,61,9606,"SIRT1,IRS1,HSPA6,HDAC1,FOXO1,IGF1,HSPA8,SOD2,AKT1,IGF1R","SIRT1,IRS1,HSPA6,HDAC1,FOXO1,IGF1,HSPA8,SOD2,AKT1,IGF1R",0.00042,0.0023,Longevity regulating pathway - multiple species,KEGG,3.015498515234105
60,ALL_UP,KEGG,hsa04630,17,158,9606,"CCND1,PDGFRA,PDGFRB,STAT3,SOCS5,IL6R,MCL1,CCND3,IFNB1,IL6ST,GRB2,BCL2,CDKN1A,LIFR,AKT1,MYC,PTPN11","CCND1,PDGFRA,PDGFRB,STAT3,SOCS5,IL6R,MCL1,CCND3,IFNB1,IL6ST,GRB2,BCL2,CDKN1A,LIFR,AKT1,MYC,PTPN11",0.00052,0.0029,JAK-STAT signaling pathway,KEGG,1.9791594685428906
61,ALL_UP,KEGG,hsa04144,22,241,9606,"WASL,VPS4B,RAB22A,TSG101,PDGFRA,MDM2,CAPZA1,GRK7,HSPA6,WIPF2,RAB11FIP1,TGFBR2,RAB5B,PIP5K1A,PARD6B,SRC,TFRC,ZFYVE27,HSPA8,LDLR,AP2B1,IGF1R","WASL,VPS4B,RAB22A,TSG101,PDGFRA,MDM2,CAPZA1,GRK7,HSPA6,WIPF2,RAB11FIP1,TGFBR2,RAB5B,PIP5K1A,PARD6B,SRC,TFRC,ZFYVE27,HSPA8,LDLR,AP2B1,IGF1R",0.00069,0.0037,Endocytosis,KEGG,1.6791697126324354
62,ALL_UP,KEGG,hsa04931,13,106,9606,"STAT3,IRS1,PPP1R3B,MLXIPL,PPP1CC,CREB5,PTEN,FOXO1,RPS6KA3,TNF,SLC2A1,AKT1,PTPN11","STAT3,IRS1,PPP1R3B,MLXIPL,PPP1CC,CREB5,PTEN,FOXO1,RPS6KA3,TNF,SLC2A1,AKT1,PTPN11",0.00077,0.0041,Insulin resistance,KEGG,2.2559342665855144
63,ALL_UP,KEGG,hsa04310,16,154,9606,"CCND1,LEF1,TP53,FZD1,WNT1,AXIN2,FOSL1,CTBP2,PSEN1,TCF7,SMAD4,FZD6,GPC4,CCND3,MYC,CTNNB1","CCND1,LEF1,TP53,FZD1,WNT1,AXIN2,FOSL1,CTBP2,PSEN1,TCF7,SMAD4,FZD6,GPC4,CCND3,MYC,CTNNB1",0.0011,0.0055,Wnt signaling pathway,KEGG,1.9111211369275884
64,ALL_UP,KEGG,hsa04668,13,111,9606,"TAB1,JAG1,MAP2K1,CEBPB,FOS,CASP3,CREB5,MAP3K5,IFNB1,TNF,MAP2K4,AKT1,RPS6KA5","TAB1,JAG1,MAP2K1,CEBPB,FOS,CASP3,CREB5,MAP3K5,IFNB1,TNF,MAP2K4,AKT1,RPS6KA5",0.0011,0.0059,TNF signaling pathway,KEGG,2.154315605928509
