,mature_name,n_projects_up,n_projects_down,median_log2fc,median_padj,binom_p_up,binom_p_down,Binomial_result
159,hsa-mir-23b-3p,1,2,-0.576,5.28e-12,0.875,0.5,NS
160,hsa-mir-24-1-5p,1,4,-0.822,4.41e-09,0.96875,0.1875,NS
161,hsa-mir-24-2-5p,3,2,0.69,5.84e-07,0.5,0.8125,NS
162,hsa-mir-24-3p,1,0,-0.413,4.67e-07,0.5,1.0,NS
163,hsa-mir-25-3p,3,0,0.692,5.904140000000001e-10,0.125,1.0,NS
164,hsa-mir-25-5p,10,0,1.882,2.56e-08,0.0009765625,1.0,UP
165,hsa-mir-26a-5p,0,6,-0.75,1.63e-15,1.0,0.015625,DOWN
166,hsa-mir-26b-3p,0,2,-0.587,9.15e-06,1.0,0.25,NS
167,hsa-mir-26b-5p,0,0,-0.6054999999999999,3.46284e-10,,,NS
168,hsa-mir-27a-3p,1,0,0.37,6.02e-05,0.5,1.0,NS
169,hsa-mir-27a-5p,0,6,-1.1885,6.48e-09,1.0,0.015625,DOWN
170,hsa-mir-27b-3p,1,2,-0.757,3.66e-15,0.875,0.5,NS
171,hsa-mir-27b-5p,1,1,0.135,4.235e-06,0.75,0.75,NS
172,hsa-mir-28-3p,0,4,-0.6485000000000001,5.5000004725e-17,1.0,0.0625,NS
173,hsa-mir-28-5p,0,3,-0.664,4.51e-15,1.0,0.125,NS
174,hsa-mir-296-5p,1,3,0.4605,3.13365e-09,0.9375,0.3125,NS
175,hsa-mir-299-3p,2,4,-0.9790000000000001,0.0016265,0.890625,0.34375,NS
176,hsa-mir-299-5p,1,6,-0.852,2.334e-07,0.9921875,0.0625,NS
177,hsa-mir-29a-3p,1,5,-0.684,6.79e-12,0.984375,0.109375,NS
178,hsa-mir-29b-1-5p,3,2,0.577,1.12e-05,0.5,0.8125,NS
179,hsa-mir-29b-2-5p,0,3,-0.767,2.07e-10,1.0,0.125,NS
180,hsa-mir-29c-3p,0,7,-1.148,1.13e-14,1.0,0.0078125,DOWN
181,hsa-mir-29c-5p,0,3,-0.775,3.17e-11,1.0,0.125,NS
182,hsa-mir-3065-3p,5,4,0.89,7.88e-12,0.5,0.74609375,NS
183,hsa-mir-3065-5p,4,3,0.695,6e-10,0.5,0.7734375,NS
184,hsa-mir-30a-3p,0,9,-1.546,9.09e-16,1.0,0.001953125,DOWN
185,hsa-mir-30b-5p,0,3,-0.864,1.3200000006e-12,1.0,0.125,NS
186,hsa-mir-30c-1-3p,1,3,-0.867,2.16e-08,0.9375,0.3125,NS
187,hsa-mir-30c-2-3p,1,8,-1.416,1.69e-17,0.998046875,0.01953125,DOWN
188,hsa-mir-30c-5p,0,2,-0.572,1.29e-07,1.0,0.25,NS
189,hsa-mir-30d-3p,1,1,-0.347,7.42e-05,0.75,0.75,NS
190,hsa-mir-30d-5p,3,3,-0.10599999999999998,3.17e-10,0.65625,0.65625,NS
191,hsa-mir-30e-3p,1,5,-0.7085,7.926e-12,0.984375,0.109375,NS
192,hsa-mir-30e-5p,1,2,-0.477,3.45e-12,0.875,0.5,NS
193,hsa-mir-31-5p,10,2,2.3175,8.5375e-13,0.019287109375,0.996826171875,UP
194,hsa-mir-3200-3p,8,0,1.472,2.1815e-08,0.00390625,1.0,UP
195,hsa-mir-323a-3p,3,4,-0.0685,1.5208950000000002e-07,0.7734375,0.5,NS
196,hsa-mir-323b-3p,8,3,1.193,2.91573e-05,0.11328125,0.96728515625,NS
197,hsa-mir-324-3p,2,1,0.5595,4.9725e-10,0.5,0.875,NS
198,hsa-mir-324-5p,4,1,0.5965,2.7309999999999997e-13,0.1875,0.96875,NS
199,hsa-mir-326,2,6,-0.997,1.84145e-08,0.96484375,0.14453125,NS
200,hsa-mir-328-3p,0,1,-0.558,8.23e-06,1.0,0.5,NS
201,hsa-mir-329-3p,2,5,-1.059,0.001,0.9375,0.2265625,NS
202,hsa-mir-330-5p,3,0,0.759,3.67e-11,0.125,1.0,NS
203,hsa-mir-331-3p,3,2,0.482,3.6e-06,0.5,0.8125,NS
204,hsa-mir-335-3p,5,2,0.758,2.29e-07,0.2265625,0.9375,NS
205,hsa-mir-335-5p,3,4,-0.723,2.27e-08,0.7734375,0.5,NS
206,hsa-mir-337-3p,1,6,-0.903,1.9e-08,0.9921875,0.0625,NS
207,hsa-mir-338-3p,2,4,-0.771,2.46755e-11,0.890625,0.34375,NS
208,hsa-mir-338-5p,1,8,-1.202,1.8900416000000001e-07,0.998046875,0.01953125,DOWN
209,hsa-mir-339-3p,1,0,0.4095,1.7016e-05,0.5,1.0,NS
210,hsa-mir-339-5p,2,1,0.6435,7.596e-08,0.5,0.875,NS
211,hsa-mir-340-3p,1,0,0.475,2.423e-05,0.5,1.0,NS
212,hsa-mir-340-5p,3,1,0.627,1.0326999999999999e-06,0.3125,0.9375,NS
213,hsa-mir-342-5p,3,2,0.642,4.7459499999999996e-08,0.5,0.8125,NS
214,hsa-mir-345-5p,6,2,1.084,9.13e-23,0.14453125,0.96484375,NS
215,hsa-mir-34b-3p,4,3,0.903,0.000222,0.5,0.7734375,NS
216,hsa-mir-34c-3p,6,3,1.16,1.605e-05,0.25390625,0.91015625,NS
217,hsa-mir-34c-5p,6,3,1.2959999999999998,8.775e-06,0.25390625,0.91015625,NS
218,hsa-mir-361-3p,0,0,0.431,1.09e-08,,,NS
219,hsa-mir-361-5p,0,0,0.278,1.97e-06,,,NS
220,hsa-mir-362-5p,4,2,0.554,6.14e-14,0.34375,0.890625,NS
221,hsa-mir-363-3p,1,2,-0.5725,9.105000000000001e-08,0.875,0.5,NS
222,hsa-mir-365a-3p,1,5,-0.699,7.94e-11,0.984375,0.109375,NS
223,hsa-mir-365b-3p,1,5,-0.699,7.94e-11,0.984375,0.109375,NS
224,hsa-mir-369-3p,3,4,-0.297,7.225e-07,0.7734375,0.5,NS
225,hsa-mir-369-5p,1,8,-1.447,5.04e-15,0.998046875,0.01953125,DOWN
226,hsa-mir-370-3p,2,2,-0.6785,9.83e-08,0.6875,0.6875,NS
227,hsa-mir-372-3p,7,4,3.138,0.000236,0.2744140625,0.88671875,NS
228,hsa-mir-374a-3p,0,0,0.276,1.68e-05,,,NS
229,hsa-mir-374a-5p,1,2,-0.367,1.36e-07,0.875,0.5,NS
230,hsa-mir-374b-5p,1,2,-0.513,3.7485900000000003e-07,0.875,0.5,NS
231,hsa-mir-375-3p,5,4,0.39049999999999996,1.475e-07,0.5,0.74609375,NS
232,hsa-mir-376a-3p,3,4,-0.2595,0.0012485,0.7734375,0.5,NS
233,hsa-mir-376b-3p,2,3,-0.625,8.16e-05,0.8125,0.5,NS
234,hsa-mir-376c-3p,1,5,-0.992,1.8e-09,0.984375,0.109375,NS
235,hsa-mir-377-3p,2,4,-0.7050000000000001,1.95e-05,0.890625,0.34375,NS
