,p_value,fdr,description,source,fold_enrichment
107,3.72e-05,0.0063,Response to endoplasmic reticulum stress,GO: Biological Process,1.3782761739393499
110,4.06e-05,0.0068,Regulation of epithelial cell migration,GO: Biological Process,1.3649126790991417
108,4.06e-05,0.0068,Apoptotic process,GO: Biological Process,1.005852797090208
109,4.06e-05,0.0068,Negative regulation of macromolecule metabolic process,GO: Biological Process,0.890885758807174
111,4.28e-05,0.0069,Regulation of transcription by RNA polymerase II,GO: Biological Process,0.8964386862825344
112,4.26e-05,0.0069,Positive regulation of cellular catabolic process,GO: Biological Process,1.1856783829817645
113,4.63e-05,0.0073,Regulation of cell communication,GO: Biological Process,0.8726355289354264
114,5.02e-05,0.0079,Cellular component organization,GO: Biological Process,0.8356533083883658
115,5.38e-05,0.0083,Positive regulation of molecular function,GO: Biological Process,0.9453761921019386
116,5.4e-05,0.0083,Cellular response to organic substance,GO: Biological Process,0.9185499525415093
117,7.31e-05,0.0111,Programmed cell death,GO: Biological Process,0.9899814071928491
118,7.8e-05,0.0118,Regulation of cellular component organization,GO: Biological Process,0.8987069868470121
119,8.13e-05,0.0121,Regulation of molecular function,GO: Biological Process,0.8747091940577978
120,8.29e-05,0.0123,Positive regulation of catabolic process,GO: Biological Process,1.117028927436887
121,8.55e-05,0.0125,Organelle organization,GO: Biological Process,0.8647331509312833
122,9.56e-05,0.0139,Response to cytokine,GO: Biological Process,1.0302204717802415
203,0.00012,0.014,SARS-CoV-2 activates/modulates innate and adaptive immune responses,Reactome,1.5670603157191092
202,0.00013,0.014,Signaling by Rho GTPases,Reactome,1.0542867182009836
204,0.00014,0.0145,Signaling by Receptor Tyrosine Kinases,Reactome,1.099876851775668
123,0.0001,0.0146,Regulation of organelle organization,GO: Biological Process,0.9718407672274813
124,0.00011,0.0152,Autophagy,GO: Biological Process,1.237881202034469
125,0.00011,0.0157,Regulation of signal transduction,GO: Biological Process,0.8746502225030878
206,0.00017,0.016,Downstream signal transduction,Reactome,2.6945258923595126
205,0.00016,0.016,Cytokine Signaling in Immune system,Reactome,1.0404075895994378
207,0.00017,0.016,RHO GTPase cycle,Reactome,1.1254196488800754
208,0.0002,0.0175,SARS-CoV-2 Infection,Reactome,1.2226182110229897
126,0.00013,0.0176,Peptidyl-serine modification,GO: Biological Process,1.3388687845213154
