MTI ID,Species (miRNA),Species (Target),miRNA,Target Gene,Reporter Assay,Western Blot,qPCR,Microarray,NGS,pSILAC,CLIP-Seq,CLASH,Other,Sum,Papers,Score
MIRT1339074,Homo sapiens,Homo sapiens,hsa-miR-421,SERTAD2,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1340272,Homo sapiens,Homo sapiens,hsa-miR-421,SETD5,0,0,0,0,0,0,1,0,0,2,1,Tier C: Middle
MIRT1341013,Homo sapiens,Homo sapiens,hsa-miR-421,SF1,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1341635,Homo sapiens,Homo sapiens,hsa-miR-421,SFMBT1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1342996,Homo sapiens,Homo sapiens,hsa-miR-421,SGCG,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1343643,Homo sapiens,Homo sapiens,hsa-miR-421,SGPL1,0,0,0,0,0,0,1,0,0,2,1,Tier C: Middle
MIRT1343774,Homo sapiens,Homo sapiens,hsa-miR-421,SGPP1,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1345599,Homo sapiens,Homo sapiens,hsa-miR-421,SH3RF1,0,0,0,0,0,0,1,0,0,2,1,Tier C: Middle
MIRT1347286,Homo sapiens,Homo sapiens,hsa-miR-421,SHISA9,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1348162,Homo sapiens,Homo sapiens,hsa-miR-421,SIAH1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1349160,Homo sapiens,Homo sapiens,hsa-miR-421,SIKE1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1351926,Homo sapiens,Homo sapiens,hsa-miR-421,SLC12A2,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1353324,Homo sapiens,Homo sapiens,hsa-miR-421,SLC16A9,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1353949,Homo sapiens,Homo sapiens,hsa-miR-421,SLC1A2,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1357649,Homo sapiens,Homo sapiens,hsa-miR-421,SLC26A2,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1358015,Homo sapiens,Homo sapiens,hsa-miR-421,SLC27A1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1359505,Homo sapiens,Homo sapiens,hsa-miR-421,SLC30A7,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1361410,Homo sapiens,Homo sapiens,hsa-miR-421,SLC35E2B,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1361827,Homo sapiens,Homo sapiens,hsa-miR-421,SLC35F5,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1366118,Homo sapiens,Homo sapiens,hsa-miR-421,SLC6A16,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1368628,Homo sapiens,Homo sapiens,hsa-miR-421,SLC9A2,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1368947,Homo sapiens,Homo sapiens,hsa-miR-421,SLC9A4,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1371428,Homo sapiens,Homo sapiens,hsa-miR-421,SMARCA2,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1371533,Homo sapiens,Homo sapiens,hsa-miR-421,SMARCA5,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1373000,Homo sapiens,Homo sapiens,hsa-miR-421,SMEK1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1373246,Homo sapiens,Homo sapiens,hsa-miR-421,SMG1,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1373697,Homo sapiens,Homo sapiens,hsa-miR-421,SMNDC1,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1374085,Homo sapiens,Homo sapiens,hsa-miR-421,SMU1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1374800,Homo sapiens,Homo sapiens,hsa-miR-421,SNAI2,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1374954,Homo sapiens,Homo sapiens,hsa-miR-421,SNAP25,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1376288,Homo sapiens,Homo sapiens,hsa-miR-421,SNRPN,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1376459,Homo sapiens,Homo sapiens,hsa-miR-421,SNTB2,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1377328,Homo sapiens,Homo sapiens,hsa-miR-421,SNX21,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1377629,Homo sapiens,Homo sapiens,hsa-miR-421,SNX27,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1378311,Homo sapiens,Homo sapiens,hsa-miR-421,SNX6,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1379913,Homo sapiens,Homo sapiens,hsa-miR-421,SOS1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1381695,Homo sapiens,Homo sapiens,hsa-miR-421,SPAG1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1382236,Homo sapiens,Homo sapiens,hsa-miR-421,SPATA13,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1385766,Homo sapiens,Homo sapiens,hsa-miR-421,SPRED2,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1389727,Homo sapiens,Homo sapiens,hsa-miR-421,SRPRB,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1390122,Homo sapiens,Homo sapiens,hsa-miR-421,SRSF10,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1390470,Homo sapiens,Homo sapiens,hsa-miR-421,SRSF1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
