MTI ID,Species (miRNA),Species (Target),miRNA,Target Gene,Reporter Assay,Western Blot,qPCR,Microarray,NGS,pSILAC,CLIP-Seq,CLASH,Other,Sum,Papers,Score
MIRT516063,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,MED18,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT516373,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,GABPB1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT516562,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,MIXL1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT516802,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PTRF,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT517024,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,COX19,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT517190,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SLC28A1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT517263,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PRIM1,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT518320,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ZNF514,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT518471,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,KIF6,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT518702,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,KCNMB1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT518807,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,MED16,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT518866,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,NEK8,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT518975,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,GRK7,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
